epoch,lr_used,next_lr,train_rmse,train_mae,seconds,optimizer_steps
1,0.0005,0.0014000000000000002,0.13615653151229867,0.10276734681394491,4.222854078980163,13
2,0.0014000000000000002,0.0023,0.11854820538344467,0.08841260481927292,4.1333749539917335,26
3,0.0023,0.0032,0.09036585240049631,0.06653582174379193,4.431853107060306,39
4,0.0032,0.0040999999999999995,0.08043723169802121,0.05986461884361713,4.229050180059858,52
5,0.0040999999999999995,0.005,0.08536441151573142,0.06314918278149288,4.205273175961338,65
6,0.005,0.004999858265768138,0.06797313682611321,0.05014203789943116,4.145235338946804,78
7,0.004999858265768138,0.004999433079146637,0.0630879274614757,0.04706341566124651,4.285261396085843,91
8,0.004999433079146637,0.004998724488355944,0.060795240683329185,0.04511176578346155,4.215963397058658,104
9,0.004998724488355944,0.004997732573757387,0.05579200169319236,0.04128001267286578,4.212004813947715,117
10,0.004997732573757387,0.004996457447844066,0.055391598410090094,0.04189893427566277,4.1631939669605345,130
11,0.004996457447844066,0.0049948992552281,0.050719813298662784,0.038228262382535114,4.106531957979314,143
12,0.0049948992552281,0.004993058172624216,0.04807037454576113,0.03619515737761993,4.238208370050415,156
13,0.004993058172624216,0.004990934408829719,0.05520625528819809,0.040640411837169724,4.4511210969649255,169
14,0.004990934408829719,0.004988528204700802,0.04728456633668807,0.03490553165956612,4.191310768015683,182
15,0.004988528204700802,0.004985839833125238,0.051687205783562236,0.03920019397874987,4.136889716959558,195
16,0.004985839833125238,0.004982869598991429,0.04980751852675219,0.03755906632109373,4.113560117897578,208
17,0.004982869598991429,0.00497961783915383,0.04602558970664234,0.03433593901027646,4.428193734027445,221
18,0.00497961783915383,0.004976084922394743,0.04351961248938691,0.03264063043611832,4.246793824946508,234
19,0.004976084922394743,0.004972271249382496,0.040550163285676843,0.030572494998443545,4.196397477062419,247
20,0.004972271249382496,0.004968177252626001,0.042263172220308086,0.03234222502723667,4.145288869971409,260
21,0.004968177252626001,0.004963803396425708,0.04352749595247767,0.03263265525404754,4.242771094082855,273
22,0.004963803396425708,0.004959150176820947,0.041734915603187886,0.031468072552233585,4.2497727640438825,286
23,0.004959150176820947,0.004954218121533661,0.04004957363974505,0.030343334083217186,4.396421737037599,299
24,0.004954218121533661,0.004949007789908578,0.04332725729449869,0.03280846071464412,4.158569289022125,312
25,0.004949007789908578,0.004943519772849758,0.03891727720019081,0.029561059872269223,4.12006573099643,325
26,0.004943519772849758,0.004937754692753585,0.037258674792599325,0.028186318822027875,4.2034734359476715,338
27,0.004937754692753585,0.004931713203438185,0.03834730234797383,0.02915204441661443,4.415020858985372,351
28,0.004931713203438185,0.004925395990069265,0.04335194172932789,0.03282463975047786,4.195295382058248,364
29,0.004925395990069265,0.004918803769082421,0.03785969919773164,0.02852564435199743,4.150473407004029,377
30,0.004918803769082421,0.004911937288101883,0.035528317810460806,0.02691342853172316,4.238527433015406,390
31,0.004911937288101883,0.004904797325855719,0.035062548722948964,0.026511730959924745,4.233998554991558,403
32,0.004904797325855719,0.00489738469208753,0.03798224244265359,0.028923857370531988,4.209534953930415,416
33,0.00489738469208753,0.0048897002274646125,0.0368742360915159,0.02777961464638214,4.32119500101544,429
34,0.0048897002274646125,0.004881744803482619,0.0386807000819729,0.02937658277141771,4.118036098894663,442
35,0.004881744803482619,0.004873519322366719,0.03907881101981958,0.02972553998124628,4.219231378985569,455
36,0.004873519322366719,0.004865024716969282,0.03582404658343945,0.027190776908576107,4.224869939032942,468
37,0.004865024716969282,0.0048562619506640784,0.0338327229177829,0.025534253417958938,4.369195376057178,481
38,0.0048562619506640784,0.004847232017237027,0.034727781036843396,0.026354626018634048,4.130533484974876,494
39,0.004847232017237027,0.0048379359407734876,0.0356771033655897,0.02712767484512082,4.2720464339945465,507
40,0.0048379359407734876,0.00482837477554212,0.03648487155006552,0.027529080977129704,4.240055993082933,520
41,0.00482837477554212,0.004818549605875318,0.03592670649577104,0.027134581888883322,4.2049196880543604,533
42,0.004818549605875318,0.004808461546046235,0.03763862930215751,0.028938443905013177,4.122887735022232,546
43,0.004808461546046235,0.0047981117401424194,0.03440193197984373,0.025938659524533805,4.281537763075903,559
44,0.0047981117401424194,0.004787501361936057,0.03510610982197127,0.026468303130174207,4.208265725057572,572
45,0.004787501361936057,0.004776631614750856,0.03382575262203082,0.025542856822866035,4.192738587036729,585
46,0.004776631614750856,0.004765503731325578,0.03291179714137691,0.02492609094859073,4.182740260963328,598
47,0.004765503731325578,0.004754118973674234,0.03146540257218075,0.023841431927522496,4.326270060962997,611
48,0.004754118973674234,0.004742478632942959,0.0346460520468461,0.02625886368314824,4.267924049985595,624
49,0.004742478632942959,0.004730584029263579,0.03628266089733001,0.027390087629064575,4.235054024029523,637
50,0.004730584029263579,0.004718436511603901,0.03195690485299353,0.02408708199817184,4.208668495994061,650
