epoch,lr_used,next_lr,train_rmse,train_mae,seconds,optimizer_steps
1,0.0005,0.0014000000000000002,0.2020713446818589,0.15329009569512034,4.226777236908674,13
2,0.0014000000000000002,0.0023,0.17548210529801642,0.13190717173554906,4.26041680702474,26
3,0.0023,0.0032,0.143808956018138,0.10744596028583422,4.465086304931901,39
4,0.0032,0.0040999999999999995,0.12483346180748839,0.09393737404541035,4.167427181033418,52
5,0.0040999999999999995,0.005,0.10927536539998005,0.08222184335746444,4.127207208075561,65
6,0.005,0.004999858265768138,0.15872303415342262,0.12043057668164157,4.139242102042772,78
7,0.004999858265768138,0.004999433079146637,0.12139834188660477,0.08959160953624505,4.435378600959666,91
8,0.004999433079146637,0.004998724488355944,0.09628672213606677,0.07026904269741835,4.1839554199250415,104
9,0.004998724488355944,0.004997732573757387,0.08007020800331141,0.05903980518313473,4.124470359063707,117
10,0.004997732573757387,0.004996457447844066,0.08810142552796625,0.06523787318268978,4.179015793954022,130
11,0.004996457447844066,0.0049948992552281,0.10033090626168745,0.0735316909267215,4.217994756996632,143
12,0.0049948992552281,0.004993058172624216,0.08004415373972826,0.05837287720202238,4.233692300971597,156
13,0.004993058172624216,0.004990934408829719,0.07016982478220145,0.05142803672822325,4.377583735971712,169
14,0.004990934408829719,0.004988528204700802,0.06555970854132903,0.04814540036982227,4.129808968049474,182
15,0.004988528204700802,0.004985839833125238,0.06115439902158058,0.04528991420070795,4.123811289086007,195
16,0.004985839833125238,0.004982869598991429,0.05953206149972885,0.04403774374009984,4.263755084015429,208
17,0.004982869598991429,0.00497961783915383,0.056902903753598584,0.042191336473388935,4.361894692061469,221
18,0.00497961783915383,0.004976084922394743,0.05406376965565278,0.04009319552163288,4.173890352016315,234
19,0.004976084922394743,0.004972271249382496,0.07279165690231111,0.0531352191015125,4.116985925938934,247
20,0.004972271249382496,0.004968177252626001,0.07392716699574226,0.05301394799836693,4.241956962039694,260
21,0.004968177252626001,0.004963803396425708,0.06415076414897171,0.04580846403869679,4.248148261918686,273
22,0.004963803396425708,0.004959150176820947,0.059805966674790205,0.04262206675297794,4.161363159073517,286
23,0.004959150176820947,0.004954218121533661,0.057242479165418116,0.041314800715913994,4.29024278500583,299
24,0.004954218121533661,0.004949007789908578,0.05288768022509374,0.03860408060787346,4.130736824939959,312
25,0.004949007789908578,0.004943519772849758,0.06114301866808452,0.04463551799707807,4.2537274829810485,325
26,0.004943519772849758,0.004937754692753585,0.058915249189885,0.04360230740484276,4.190059402957559,338
27,0.004937754692753585,0.004931713203438185,0.059709445684013776,0.04435114352349392,4.3323116870597005,351
28,0.004931713203438185,0.004925395990069265,0.05336202593065322,0.03923317392044915,4.12510372698307,364
29,0.004925395990069265,0.004918803769082421,0.05512882469595884,0.04085418794631828,4.273668146925047,377
30,0.004918803769082421,0.004911937288101883,0.050106533563839234,0.036929599066191754,4.250097010983154,390
31,0.004911937288101883,0.004904797325855719,0.05191050443873327,0.03825905892966077,4.184406792046502,403
32,0.004904797325855719,0.00489738469208753,0.05246807073136961,0.03865232533036212,4.106298040016554,416
33,0.00489738469208753,0.0048897002274646125,0.0513393673070636,0.03807434381285955,4.30946261191275,429
34,0.0048897002274646125,0.004881744803482619,0.04924914996850609,0.0363288279777908,4.253903174074367,442
35,0.004881744803482619,0.004873519322366719,0.04705095698648886,0.034691097624472464,4.203603699919768,455
36,0.004873519322366719,0.004865024716969282,0.04724087863077895,0.034799399316567656,4.163892738055438,468
37,0.004865024716969282,0.0048562619506640784,0.04707776979793118,0.03471801807650089,4.3172281860606745,481
38,0.0048562619506640784,0.004847232017237027,0.048007804799169156,0.03545894855149899,4.267527873045765,494
39,0.004847232017237027,0.0048379359407734876,0.04688730678815994,0.034548816176631254,4.246611397946253,507
40,0.0048379359407734876,0.00482837477554212,0.04993049504181597,0.03670308886233777,4.172991133062169,520
41,0.00482837477554212,0.004818549605875318,0.05146228861208631,0.03810831668892133,4.125627784989774,533
42,0.004818549605875318,0.004808461546046235,0.04741800777021863,0.03472471518811036,4.147402964066714,546
43,0.004808461546046235,0.0047981117401424194,0.05399021597527345,0.040581683826934785,4.437201546970755,559
44,0.0047981117401424194,0.004787501361936057,0.051984031363028954,0.038550393916897505,4.20830936008133,572
45,0.004787501361936057,0.004776631614750856,0.04698537037201285,0.034583476805838766,4.166265147970989,585
46,0.004776631614750856,0.004765503731325578,0.04676396469961348,0.03432971342798552,4.160586507990956,598
47,0.004765503731325578,0.004754118973674234,0.047162812629961234,0.03471372027605582,4.458521966938861,611
48,0.004754118973674234,0.004742478632942959,0.04690090008884026,0.034679115040487506,4.254781111027114,624
49,0.004742478632942959,0.004730584029263579,0.047280536217985496,0.03488559306983589,4.1748501979745924,637
50,0.004730584029263579,0.004718436511603901,0.047765025630118856,0.03542085318294488,4.192699832958169,650
