station,epoch,unit,component,group,loss_n,loss_mean,loss_median,loss_min,loss_max,grad_norm_n,grad_norm_mean,grad_norm_median,grad_norm_min,grad_norm_max,ratio_base_n,ratio_base_mean,ratio_base_median,ratio_base_min,ratio_base_max,ratio_dual_base_n,ratio_dual_base_mean,ratio_dual_base_median,ratio_dual_base_min,ratio_dual_base_max,cosine_base_n,cosine_base_mean,cosine_base_median,cosine_base_min,cosine_base_max,cosine_dual_base_n,cosine_dual_base_mean,cosine_dual_base_median,cosine_dual_base_min,cosine_dual_base_max
Battery,50,accum4,amp_true,excess,4,0.003176354501192691,0.0031067255986272357,0.002530368830775842,0.00396159797674045,4,0.03621307369044001,0.036345719231125055,0.02537715391644182,0.0467837023830681,4,165.10364448692724,139.36100543969505,18.7301159921161,362.9624510762026,4,76.23325641876362,40.8022087833089,5.801246847155213,217.52736126128144,4,-0.15939682544909728,-0.24497070066926113,-0.9823975854009853,0.8347516849431185,4,-0.502604597427893,-0.5337226069192813,-0.9813276911972464,0.03835451532423711
Battery,50,accum4,amp_true,full,4,0.003176354501192691,0.0031067255986272357,0.002530368830775842,0.00396159797674045,4,0.0781395647435414,0.08057456114127262,0.05555883398599768,0.0958503027056227,4,3.1927245136579416,3.3697747201128534,2.0432333714555933,3.9881152429504674,4,1.5062945544218498,1.5750346085410076,0.9821041260573633,1.8930048745480208,4,-0.17301190662376345,-0.17842722888235174,-0.22019388948863602,-0.1149992792417143,4,-0.23686770991666584,-0.2585751601574605,-0.2744851073118961,-0.15583541203984624
Battery,50,accum4,amp_true,shared,4,0.003176354501192691,0.0031067255986272357,0.002530368830775842,0.00396159797674045,4,0.06906291720638241,0.06922851820230302,0.04942452926417077,0.0883701031567528,4,3.1973856698595453,3.2940025983549877,2.126230512888033,4.075306969840174,4,1.4919046238462284,1.48635149109711,1.0109864044854986,1.9839291087051938,4,-0.2159819515858625,-0.22196651331614395,-0.27569681003321345,-0.1442979696779487,4,-0.28740671946623303,-0.3160997794602035,-0.32548391492916107,-0.191943404015364
Battery,50,accum4,amp_true,temporal,4,0.003176354501192691,0.0031067255986272357,0.002530368830775842,0.00396159797674045,4,0.00053524276811393,0.0005512061321236194,0.0003147533525993092,0.000723805455609172,4,2.6183659113690054,2.7638814233856532,1.3900330659067897,3.555667732797925,4,1.235295995221425,1.278525779310301,0.6825231827338041,1.7016092395312936,4,-0.15062449531349636,-0.1687069780593056,-0.18764525188484074,-0.07743877325053357,4,-0.23185043094065952,-0.23344662983481565,-0.30288600472039146,-0.15762245937261538
Battery,50,accum4,base,excess,4,0.002068976638838649,0.0020444024848984554,0.0019249153847340494,0.002262186200823635,4,0.0005116677588800561,0.0002947561732522793,0.00010227365108404787,0.0013548850379316176,4,1.0,1.0,1.0,1.0,4,0.37412410361332205,0.3243878905724894,0.2484097111556146,0.599310922152695,4,1.0,0.9999999999999999,0.9999999999999999,1.0,4,0.8343423225975936,0.9526301809227704,0.432383179862985,0.9997257486818484
Battery,50,accum4,base,full,4,0.002068976638838649,0.0020444024848984554,0.0019249153847340494,0.002262186200823635,4,0.024708401208036187,0.024297429453912108,0.023047121726044187,0.02719162419827635,4,1.0,1.0,1.0,1.0,4,0.4706064664017507,0.4776532079946977,0.43737005705597554,0.48974939256163186,4,1.0,1.0,1.0,1.0000000000000002,4,0.990228065135238,0.992044520126431,0.9800437060581102,0.9967795142299798
Battery,50,accum4,base,shared,4,0.002068976638838649,0.0020444024848984554,0.0019249153847340494,0.002262186200823635,4,0.021717861550822753,0.02145326734316977,0.020719769955588954,0.023245141561362523,4,1.0,1.0,1.0,1.0,4,0.4642383207389422,0.47217522591362016,0.4257857340638136,0.48681709706471504,4,1.0,1.0,1.0,1.0000000000000002,4,0.9889106019321378,0.9904500857012607,0.9787168275721303,0.9960254087538996
Battery,50,accum4,base,temporal,4,0.002068976638838649,0.0020444024848984554,0.0019249153847340494,0.002262186200823635,4,0.00020742300500658898,0.0002026858589882145,0.00019788442773928272,0.00022643587431064418,4,1.0,1.0,1.0,1.0,4,0.47172880861962546,0.4778822010341678,0.4401386403451096,0.4910121920650566,4,1.0,1.0000000000000002,1.0,1.0000000000000002,4,0.9962301852071163,0.9969298782332325,0.992728780317033,0.9983322040449669
Battery,50,accum4,body,excess,4,0.001918768793984782,0.0018833553331205621,0.001793707109754905,0.0021146573999430984,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0,,,,,0,,,,
Battery,50,accum4,body,full,4,0.001918768793984782,0.0018833553331205621,0.001793707109754905,0.0021146573999430984,4,0.023993467824357947,0.023862303301043247,0.021696334718440867,0.02655292997690443,4,0.9704232563615401,0.9744473072566839,0.9413902081283809,0.9914082028044122,4,0.4570464095992643,0.4654540921259653,0.4117358890410467,0.48554156510408,4,0.9939110271592407,0.9933777018416778,0.9894208064250354,0.9994678985285721,4,0.9717321015660952,0.9706293671551055,0.9511543137045005,0.9945153582496694
