station,epoch,unit,unit_id,windows,events,tails,component,group,loss,grad_norm,base_grad_norm,dual_base_grad_norm,ratio_base,ratio_dual_base,cosine_base,cosine_dual_base
Battery,50,batch,0,256,13,13,base,shared,0.0024485401809215546,0.019052895516397543,0.019052895516397543,0.04396114924537558,1.0,0.4334030352584966,1.0000000000000002,0.9805745574070587
Battery,50,batch,0,256,13,13,tail,shared,0.0038419000338763,0.13794483138829544,0.019052895516397543,0.04396114924537558,7.240098034945692,3.1378804639145397,0.4549493709784157,0.6084905742812354
Battery,50,batch,0,256,13,13,body,shared,0.002276601968333125,0.016974847272436904,0.019052895516397543,0.04396114924537558,0.890932680433155,0.38613292791071757,0.92765764126874,0.8411256476148633
Battery,50,batch,0,256,13,13,excess,shared,0.00016625043645035475,0.0070438428808599005,0.019052895516397543,0.04396114924537558,0.3696993391265774,0.1602288157105189,0.4563322329251893,0.6091442775152804
Battery,50,batch,0,256,13,13,gate,shared,0.0005545899621210992,0.008592854003427434,0.019052895516397543,0.04396114924537558,0.4509999016176908,0.19546472626239053,0.43292585800119143,0.5577078880543684
Battery,50,batch,0,256,13,13,amp_true,shared,0.002790996339172125,0.07676372604117322,0.019052895516397543,0.04396114924537558,4.028979530964617,1.7461719577144188,0.3748200676453897,0.5058884115750252
Battery,50,batch,0,256,13,13,dual_base,shared,0.005334937945008278,0.04396114924537558,0.019052895516397543,0.04396114924537558,2.3073211737051293,1.0,0.9805745574070587,0.9999999999999999
Battery,50,batch,0,256,13,13,base,temporal,0.0024485401809215546,0.00018692236005536655,0.00018692236005536655,0.0004120265290184993,1.0,0.4536658367621131,1.0000000000000002,0.9896840586830764
Battery,50,batch,0,256,13,13,tail,temporal,0.0038419000338763,0.0009450085238127111,0.00018692236005536655,0.0004120265290184993,5.055620544983483,2.2935623248916617,0.3528931993562222,0.48314155332704106
Battery,50,batch,0,256,13,13,body,temporal,0.002276601968333125,0.0001747153972977794,0.00018692236005536655,0.0004120265290184993,0.9346950105168187,0.4240391940634846,0.9647542335784517,0.9171467026110961
Battery,50,batch,0,256,13,13,excess,temporal,0.00016625043645035475,4.997382922209453e-05,0.00018692236005536655,0.0004120265290184993,0.2673507289726721,0.12128789216834819,0.36285707358782354,0.49247109664474037
Battery,50,batch,0,256,13,13,gate,temporal,0.0005545899621210992,3.9886560416413495e-05,0.00018692236005536655,0.0004120265290184993,0.21338570947102883,0.09680580644025145,0.7998896824658684,0.8763399736272158
Battery,50,batch,0,256,13,13,amp_true,temporal,0.002790996339172125,0.00034516879077244733,0.00018692236005536655,0.0004120265290184993,1.8465890900917796,0.8377343847122761,0.27625217969224225,0.41067713452648485
Battery,50,batch,0,256,13,13,dual_base,temporal,0.005334937945008278,0.0004120265290184993,0.00018692236005536655,0.0004120265290184993,2.204265604695215,1.0,0.9896840586830764,1.0000000000000002
Battery,50,batch,0,256,13,13,base,excess,0.0024485401809215546,0.002615907251419114,0.002615907251419114,0.008237211411936304,1.0,0.3175719452372533,0.9999999999999999,0.9999414974161697
Battery,50,batch,0,256,13,13,tail,excess,0.0038419000338763,0.052366393575578055,0.002615907251419114,0.008237211411936304,20.018444288179406,6.357296293220717,0.999996316009968,0.9999281100365666
Battery,50,batch,0,256,13,13,body,excess,0.002276601968333125,0.0,0.002615907251419114,0.008237211411936304,0.0,0.0,,
Battery,50,batch,0,256,13,13,excess,excess,0.00016625043645035475,0.0028085732675456193,0.002615907251419114,0.008237211411936304,1.07365170000656,0.34096165887836716,0.9998765693037829,0.9999844203937327
Battery,50,batch,0,256,13,13,gate,excess,0.0005545899621210992,0.0,0.002615907251419114,0.008237211411936304,0.0,0.0,,
