path,status,original_sha256,current_sha256,original_lines,current_lines
configs/configs_train_single/MPI/train_config_MPI_Battery_P3_Best_FutureOnly.sh,unchanged,ba84e29a29191bebe50e14431d59fc4dbe7325288f1e15e42d7b7011b0abcb08,ba84e29a29191bebe50e14431d59fc4dbe7325288f1e15e42d7b7011b0abcb08,12,12
configs/configs_train_single/MPI/train_config_MPI_Battery_P3_Best_PastOnly.sh,unchanged,3d6e61323424baa1b3918a5bc2cca76e958efb44ef664835afa92cec751cac26,3d6e61323424baa1b3918a5bc2cca76e958efb44ef664835afa92cec751cac26,9,9
configs/configs_train_single/MPI/train_config_MPI_Battery_P3_Best_shuffle.sh,unchanged,cfd8705a0f92db5c66a58a9d3687d2d67c425c9c2c4c59e1307f9370b60377fa,cfd8705a0f92db5c66a58a9d3687d2d67c425c9c2c4c59e1307f9370b60377fa,10,10
configs/configs_train_single/MRI/train_config_MRI_Battery_Baseline_0h.sh,unchanged,2904e184980f498cce0db98244426ada0cde4fc25e0ba7e6bff9e64c66c92b6a,2904e184980f498cce0db98244426ada0cde4fc25e0ba7e6bff9e64c66c92b6a,8,8
configs/configs_train_single/MRI/train_config_MRI_Battery_Baseline_12h.sh,unchanged,f2f88b5324d38d522187db66b21db8cf01b777c3791eae97c4db636d11bc6975,f2f88b5324d38d522187db66b21db8cf01b777c3791eae97c4db636d11bc6975,8,8
configs/configs_train_single/MRI/train_config_MRI_Battery_P3_Base.sh,unchanged,eec1b4c6211a9aff2b17891a2f6ae26748a85699f775bce8855bf636cc288064,eec1b4c6211a9aff2b17891a2f6ae26748a85699f775bce8855bf636cc288064,8,8
configs/configs_train_single/MRI/train_config_MRI_Battery_P3_Base_PastOnly.sh,unchanged,71e98c65c31fbae4a95e9c89fc8500cbd9d01d5438046fbfb75c4c4ffaff684f,71e98c65c31fbae4a95e9c89fc8500cbd9d01d5438046fbfb75c4c4ffaff684f,8,8
configs/configs_train_single/MRI/train_config_MRI_Battery_P3_Best.sh,unchanged,662380924173450b083404cb718ec8fe48f6a58a03dc8250de89860a5e7c658f,662380924173450b083404cb718ec8fe48f6a58a03dc8250de89860a5e7c658f,9,9
configs/configs_train_single/MRI/train_config_MRI_Battery_P3_Best_FutureOnly.sh,unchanged,8f48839aed2a0a42cf2795f47fc1af9a327190f667437cbf677326eea3998e7e,8f48839aed2a0a42cf2795f47fc1af9a327190f667437cbf677326eea3998e7e,12,12
configs/configs_train_single/MRI/train_config_MRI_Battery_P3_Best_PastOnly.sh,unchanged,95d0209737d6b90eae5ee5fd4aeb29cb291f7f07586f541090770404ac764693,95d0209737d6b90eae5ee5fd4aeb29cb291f7f07586f541090770404ac764693,9,9
configs/configs_train_single/MRI/train_config_MRI_Battery_P3_Best_shuffle.sh,unchanged,63414ba70929da86a8570c4897d11e86b1e37e9bf05a3094f207bc653f3ef020,63414ba70929da86a8570c4897d11e86b1e37e9bf05a3094f207bc653f3ef020,10,10
configs/configs_train_single/NCEP/train_config_NCEP_Battery_Baseline_0h.sh,unchanged,f802fafb3d8fe24211347facb7ded8fcdcc696f5db84c403834328f233fd9ace,f802fafb3d8fe24211347facb7ded8fcdcc696f5db84c403834328f233fd9ace,8,8
configs/configs_train_single/NCEP/train_config_NCEP_Battery_Baseline_12h.sh,unchanged,d270b66aa978c2c461d6b1bfab8906d1e267b4d1fbccca588539b894a04735bd,d270b66aa978c2c461d6b1bfab8906d1e267b4d1fbccca588539b894a04735bd,9,9
configs/configs_train_single/NCEP/train_config_NCEP_Battery_P3_Base.sh,unchanged,1d7c085d147daee5c3057ede9db31fa04f4a4a4104ae9879dddf3ed4326c32ca,1d7c085d147daee5c3057ede9db31fa04f4a4a4104ae9879dddf3ed4326c32ca,8,8
configs/configs_train_single/NCEP/train_config_NCEP_Battery_P3_Best.sh,unchanged,1dd63e3cc0583b426fd41acc8e046408cfc5984ed6d90f3416be32d095da25eb,1dd63e3cc0583b426fd41acc8e046408cfc5984ed6d90f3416be32d095da25eb,9,9
configs/configs_train_single/NCEP/train_config_NCEP_Boston_Baseline_0h.sh,unchanged,86c24e5fcc68997113f5b0cfada2fb196915b356e58345477466b737af0feb63,86c24e5fcc68997113f5b0cfada2fb196915b356e58345477466b737af0feb63,8,8
