epoch,lr_used,next_lr,train_rmse,train_mae,seconds,optimizer_steps
1,0.0005,0.0014000000000000002,0.18385439832706427,0.1405581731759254,4.846944423043169,13
2,0.0014000000000000002,0.0023,0.16069487798123325,0.1217282433057862,4.316785658011213,26
3,0.0023,0.0032,0.12246941498349102,0.09195486807667722,4.1316471269819885,39
4,0.0032,0.0040999999999999995,0.10214891447555023,0.07715210016484159,4.284926580032334,52
5,0.0040999999999999995,0.005,0.11723670726178574,0.09015363785676282,4.136821340071037,65
6,0.005,0.004999858265768138,0.09273377911280746,0.07055798872990302,4.308347460930236,78
7,0.004999858265768138,0.004999433079146637,0.09361470640169431,0.07197809379075765,4.184994850074872,91
8,0.004999433079146637,0.004998724488355944,0.06974246393343317,0.051878424612551356,4.1168366050114855,104
9,0.004998724488355944,0.004997732573757387,0.06747004302998305,0.051251003978604506,4.16921759606339,117
10,0.004997732573757387,0.004996457447844066,0.06445516615672266,0.04853392928347574,4.419915374019183,130
11,0.004996457447844066,0.0049948992552281,0.05592142828912636,0.04264726898648015,4.276302287005819,143
12,0.0049948992552281,0.004993058172624216,0.054405051346749514,0.040884905803922726,4.1506868759170175,156
13,0.004993058172624216,0.004990934408829719,0.05168827859356154,0.03902973199165463,4.146807788987644,169
14,0.004990934408829719,0.004988528204700802,0.05877561769451352,0.04502640211941614,4.384313125978224,182
15,0.004988528204700802,0.004985839833125238,0.052783263092466316,0.03996195770522703,4.293391769984737,195
16,0.004985839833125238,0.004982869598991429,0.04602325215022544,0.03503601051702139,4.212764056981541,208
17,0.004982869598991429,0.00497961783915383,0.04353688216418024,0.033235671959981644,4.171368295908906,221
18,0.00497961783915383,0.004976084922394743,0.04612434718099307,0.03475148241969569,4.224993940908462,234
19,0.004976084922394743,0.004972271249382496,0.04282734702232288,0.03262552533563395,4.242711566039361,247
20,0.004972271249382496,0.004968177252626001,0.05723855091967931,0.04342290850218748,4.380711198900826,260
21,0.004968177252626001,0.004963803396425708,0.04805387477242085,0.0359688552458268,4.139849866041914,273
22,0.004963803396425708,0.004959150176820947,0.040004580439340374,0.030168686354799686,4.129022890003398,286
23,0.004959150176820947,0.004954218121533661,0.038697806258011044,0.029553839299499698,4.225752881960943,299
24,0.004954218121533661,0.004949007789908578,0.04310478065495695,0.032599447693165376,4.373752443003468,312
25,0.004949007789908578,0.004943519772849758,0.0401989321633426,0.030513392400791425,4.15608116297517,325
26,0.004943519772849758,0.004937754692753585,0.04440580596070202,0.03375325336420899,4.176940448000096,338
27,0.004937754692753585,0.004931713203438185,0.0508850061756857,0.0388036014257712,4.250590740004554,351
28,0.004931713203438185,0.004925395990069265,0.04795673948711438,0.03586609815325883,4.206539554987103,364
29,0.004925395990069265,0.004918803769082421,0.03919091579649478,0.029687080119356682,4.312429966987111,377
30,0.004918803769082421,0.004911937288101883,0.03715974230626614,0.028221008666956243,4.324234833940864,390
31,0.004911937288101883,0.004904797325855719,0.03736066205008985,0.028157451906751646,4.100209502037615,403
32,0.004904797325855719,0.00489738469208753,0.03812444396933987,0.029040011287379094,4.205659399973229,416
33,0.00489738469208753,0.0048897002274646125,0.040010852412630485,0.030411601213587467,4.277556697023101,429
34,0.0048897002274646125,0.004881744803482619,0.04018657395379987,0.03069748188970702,4.3843203749274835,442
35,0.004881744803482619,0.004873519322366719,0.035411601144756735,0.026775777274773007,4.136224876041524,455
36,0.004873519322366719,0.004865024716969282,0.03354472253567345,0.02542102471784993,4.314827091991901,468
37,0.004865024716969282,0.0048562619506640784,0.04529567366311537,0.03475093912444242,4.252219686983153,481
38,0.0048562619506640784,0.004847232017237027,0.04114711513954809,0.031117317823714144,4.285298319067806,494
39,0.004847232017237027,0.0048379359407734876,0.03671110173191941,0.02782618997433545,4.194061417016201,507
40,0.0048379359407734876,0.00482837477554212,0.034953861728792,0.026612276884343214,4.280771619058214,520
41,0.00482837477554212,0.004818549605875318,0.032513715366547194,0.024646828432809825,4.316712978994474,533
42,0.004818549605875318,0.004808461546046235,0.03283801738473847,0.024979705695575654,4.322743267053738,546
43,0.004808461546046235,0.0047981117401424194,0.039662899255988385,0.030575947358425233,4.218812575098127,559
44,0.0047981117401424194,0.004787501361936057,0.03665365400705802,0.02811381747538795,4.393671710975468,572
45,0.004787501361936057,0.004776631614750856,0.03731510087023912,0.02836214068864559,4.299310742993839,585
46,0.004776631614750856,0.004765503731325578,0.03459618239671368,0.026181272056956407,4.336293136002496,598
47,0.004765503731325578,0.004754118973674234,0.03374102066721618,0.025416889109530657,4.344369863974862,611
48,0.004754118973674234,0.004742478632942959,0.032019183352784,0.024245262056061208,4.309222653973848,624
49,0.004742478632942959,0.004730584029263579,0.0321285963301881,0.024428033270514023,4.265744753996842,637
50,0.004730584029263579,0.004718436511603901,0.0377138879912962,0.029143363190291934,4.473846888053231,650
